"generation","heterozygosity","generation_label"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
0,1,"F1"
1,0.264,"F2"
1,0.506,"F2"
1,0.469,"F2"
1,0.437,"F2"
1,0.771,"F2"
1,0.118,"F2"
1,0.54,"F2"
1,0.72,"F2"
1,0.952,"F2"
1,0.295,"F2"
1,0,"F2"
1,0.519,"F2"
1,0.097,"F2"
1,0.997,"F2"
1,0.464,"F2"
1,0.571,"F2"
1,0.9,"F2"
1,0.168,"F2"
1,0.01,"F2"
1,0.014,"F2"
1,0.617,"F2"
1,0.661,"F2"
1,1,"F2"
1,0,"F2"
1,0.917,"F2"
1,0.542,"F2"
1,0.236,"F2"
1,0.617,"F2"
1,0.859,"F2"
1,0.885,"F2"
1,0.683,"F2"
1,0.774,"F2"
1,0.004,"F2"
1,0.33,"F2"
1,0.185,"F2"
1,0.487,"F2"
1,0.627,"F2"
1,0,"F2"
1,0.05,"F2"
1,0.683,"F2"
1,0.085,"F2"
1,0.25,"F2"
1,0.163,"F2"
1,0.428,"F2"
1,0.791,"F2"
1,0.384,"F2"
1,0.496,"F2"
1,0,"F2"
1,0.881,"F2"
1,0.48,"F2"
1,0.376,"F2"
1,1,"F2"
1,0.674,"F2"
1,0.794,"F2"
1,0.629,"F2"
1,0.089,"F2"
1,0.334,"F2"
1,0.279,"F2"
1,0.503,"F2"
1,1,"F2"
1,0.99,"F2"
1,0.716,"F2"
1,0.972,"F2"
1,0.446,"F2"
1,0.331,"F2"
1,0.843,"F2"
1,0.639,"F2"
1,1,"F2"
1,0.883,"F2"
1,0.537,"F2"
1,0.356,"F2"
1,0.425,"F2"
1,0.04,"F2"
1,0,"F2"
1,0.828,"F2"
1,0.654,"F2"
1,0.169,"F2"
1,0.957,"F2"
1,0.751,"F2"
1,0.033,"F2"
1,0.129,"F2"
1,0.375,"F2"
1,0.671,"F2"
1,0.927,"F2"
1,0.073,"F2"
1,0.586,"F2"
1,0.443,"F2"
1,0.713,"F2"
1,0.538,"F2"
1,0.253,"F2"
1,0.178,"F2"
1,0.606,"F2"
1,0.656,"F2"
1,0.805,"F2"
1,0,"F2"
1,0,"F2"
1,0.744,"F2"
1,0.8,"F2"
1,0.383,"F2"
1,0.143,"F2"
2,0.264,"F3"
2,0.357,"F3"
2,0,"F3"
2,0.437,"F3"
2,0.489,"F3"
2,0.074,"F3"
2,0,"F3"
2,0.374,"F3"
2,0.407,"F3"
2,0,"F3"
2,0,"F3"
2,0.258,"F3"
2,0,"F3"
2,0.63,"F3"
2,0,"F3"
2,0,"F3"
2,0.9,"F3"
2,0.033,"F3"
2,0.01,"F3"
2,0,"F3"
2,0.53,"F3"
2,0.262,"F3"
2,0.837,"F3"
2,0,"F3"
2,0.053,"F3"
2,0.071,"F3"
2,0.236,"F3"
2,0,"F3"
2,0.378,"F3"
2,0.513,"F3"
2,0.245,"F3"
2,0.354,"F3"
2,0,"F3"
2,0.047,"F3"
2,0.185,"F3"
2,0.487,"F3"
2,0,"F3"
2,0,"F3"
2,0.05,"F3"
2,0.683,"F3"
2,0,"F3"
2,0.25,"F3"
2,0.073,"F3"
2,0.354,"F3"
2,0.791,"F3"
2,0.384,"F3"
2,0.168,"F3"
2,0,"F3"
2,0,"F3"
2,0,"F3"
2,0.276,"F3"
2,0.357,"F3"
2,0.144,"F3"
2,0.374,"F3"
2,0.462,"F3"
2,0,"F3"
2,0,"F3"
2,0.279,"F3"
2,0.433,"F3"
2,0.627,"F3"
2,0.949,"F3"
2,0,"F3"
2,0,"F3"
2,0.152,"F3"
2,0.249,"F3"
2,0.768,"F3"
2,0,"F3"
2,0.909,"F3"
2,0.027,"F3"
2,0,"F3"
2,0,"F3"
2,0,"F3"
2,0,"F3"
2,0,"F3"
2,0.411,"F3"
2,0.3,"F3"
2,0,"F3"
2,0.603,"F3"
2,0.436,"F3"
2,0,"F3"
2,0.1,"F3"
2,0.118,"F3"
2,0.671,"F3"
2,0.927,"F3"
2,0,"F3"
2,0.43,"F3"
2,0,"F3"
2,0.144,"F3"
2,0.538,"F3"
2,0.054,"F3"
2,0.027,"F3"
2,0.309,"F3"
2,0.477,"F3"
2,0.725,"F3"
2,0,"F3"
2,0,"F3"
2,0.379,"F3"
2,0.57,"F3"
2,0.065,"F3"
2,0.143,"F3"
3,0.115,"F4"
3,0.143,"F4"
3,0,"F4"
3,0.437,"F4"
3,0.38,"F4"
3,0.035,"F4"
3,0,"F4"
3,0.2,"F4"
3,0.407,"F4"
3,0,"F4"
3,0,"F4"
3,0.258,"F4"
3,0,"F4"
3,0.21,"F4"
3,0,"F4"
3,0,"F4"
3,0.575,"F4"
3,0.033,"F4"
3,0,"F4"
3,0,"F4"
3,0.231,"F4"
3,0.182,"F4"
3,0.401,"F4"
3,0,"F4"
3,0,"F4"
3,0,"F4"
3,0.236,"F4"
3,0,"F4"
3,0.332,"F4"
3,0.38,"F4"
3,0.145,"F4"
3,0.052,"F4"
3,0,"F4"
3,0.014,"F4"
3,0,"F4"
3,0.013,"F4"
3,0,"F4"
3,0,"F4"
3,0.05,"F4"
3,0.38,"F4"
3,0,"F4"
3,0.109,"F4"
3,0.039,"F4"
3,0.33,"F4"
3,0.339,"F4"
3,0.384,"F4"
3,0.168,"F4"
3,0,"F4"
3,0,"F4"
3,0,"F4"
3,0.276,"F4"
3,0,"F4"
3,0.118,"F4"
3,0.287,"F4"
3,0.143,"F4"
3,0,"F4"
3,0,"F4"
3,0.279,"F4"
3,0.136,"F4"
3,0.141,"F4"
3,0.325,"F4"
3,0,"F4"
3,0,"F4"
3,0,"F4"
3,0.249,"F4"
3,0.299,"F4"
3,0,"F4"
3,0.634,"F4"
3,0.027,"F4"
3,0,"F4"
3,0,"F4"
3,0,"F4"
3,0,"F4"
3,0,"F4"
3,0,"F4"
3,0.095,"F4"
3,0,"F4"
3,0,"F4"
3,0,"F4"
3,0,"F4"
3,0.009,"F4"
3,0.118,"F4"
3,0.314,"F4"
3,0.887,"F4"
3,0,"F4"
3,0.29,"F4"
3,0,"F4"
3,0.037,"F4"
3,0.495,"F4"
3,0.054,"F4"
3,0,"F4"
3,0.035,"F4"
3,0,"F4"
3,0.365,"F4"
3,0,"F4"
3,0,"F4"
3,0.139,"F4"
3,0.244,"F4"
3,0.065,"F4"
3,0.101,"F4"
4,0.115,"F5"
4,0,"F5"
4,0,"F5"
4,0.437,"F5"
4,0.26,"F5"
4,0,"F5"
4,0,"F5"
4,0.121,"F5"
4,0.106,"F5"
4,0,"F5"
4,0,"F5"
4,0.143,"F5"
4,0,"F5"
4,0.21,"F5"
4,0,"F5"
4,0,"F5"
4,0.575,"F5"
4,0.033,"F5"
4,0,"F5"
4,0,"F5"
4,0.231,"F5"
4,0.077,"F5"
4,0.171,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0.113,"F5"
4,0,"F5"
4,0.285,"F5"
4,0.165,"F5"
4,0.145,"F5"
4,0.033,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0.05,"F5"
4,0.082,"F5"
4,0,"F5"
4,0.109,"F5"
4,0.034,"F5"
4,0.04,"F5"
4,0.045,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0.118,"F5"
4,0.287,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0.013,"F5"
4,0.126,"F5"
4,0.141,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0.249,"F5"
4,0.299,"F5"
4,0,"F5"
4,0.49,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0.009,"F5"
4,0.118,"F5"
4,0.297,"F5"
4,0.118,"F5"
4,0,"F5"
4,0.29,"F5"
4,0,"F5"
4,0.037,"F5"
4,0.376,"F5"
4,0.054,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0.345,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0,"F5"
4,0.065,"F5"
4,0.101,"F5"
5,0.115,"F6"
5,0,"F6"
5,0,"F6"
5,0.093,"F6"
5,0.162,"F6"
5,0,"F6"
5,0,"F6"
5,0.02,"F6"
5,0.089,"F6"
5,0,"F6"
5,0,"F6"
5,0.143,"F6"
5,0,"F6"
5,0.181,"F6"
5,0,"F6"
5,0,"F6"
5,0.153,"F6"
5,0.033,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0.099,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0.285,"F6"
5,0.107,"F6"
5,0.01,"F6"
5,0.033,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0.05,"F6"
5,0,"F6"
5,0,"F6"
5,0.109,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0.118,"F6"
5,0.264,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0.125,"F6"
5,0,"F6"
5,0,"F6"
5,0.49,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0.025,"F6"
5,0,"F6"
5,0.078,"F6"
5,0,"F6"
5,0,"F6"
5,0.079,"F6"
5,0.054,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0.058,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
5,0,"F6"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0.093,"F7"
6,0.162,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0.181,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0.099,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0.109,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0.118,"F7"
6,0.07,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0.014,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0.079,"F7"
6,0.054,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0.058,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
6,0,"F7"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0.06,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0.099,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0.118,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0.014,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
7,0,"F8"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0.06,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0.031,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0.118,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
8,0,"F9"
